Title,Rating,Year,Duration,Votes,Director,MetaScore,Description,Rating Category,Predicted Rating Category
227. Ангел-истребитель,8.0,,N/A,36000,Unknown,0.0,The guests at an upper-class dinner party find themselves unable to leave.,Excellent,Excellent
228. Мистер Смит едет в Вашингтон,8.1,,N/A,124000,Unknown,73.0,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character.",Excellent,Excellent
229. Весь этот джаз,7.8,,N/A,37000,Unknown,72.0,"Director/choreographer Bob Fosse tells his own life story as he details the sordid career of Joe Gideon, a womanizing, drug-using dancer.",Good,Good
230. Моя дорогая Клементина,7.7,,N/A,27000,Unknown,0.0,"After their cattle are stolen and their brother murdered, the Earp brothers have a score to settle with the Clanton family.",Good,Good
231. Дерсу Узала,8.2,,N/A,34000,Unknown,0.0,The Russian army sends an explorer on an expedition to the snowy Siberian wilderness where he makes friends with a seasoned local hunter.,Excellent,Excellent
232. Взвод,8.1,,N/A,448000,Unknown,92.0,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",Excellent,Excellent
233. Незнакомцы в поезде,7.9,,N/A,144000,Unknown,88.0,A psychopath tries to forcibly persuade a tennis star to agree to his theory that two strangers can get away with murder by submitting to his plan to kill the other's most-hated person.,Good,Good
234. Три цвета: Красный,8.1,,N/A,112000,Unknown,100.0,A model discovers a retired judge is keen on invading people's privacy.,Excellent,Excellent
235. Марти,7.7,,N/A,28000,Unknown,82.0,A middle-aged butcher and a school teacher who have given up on the idea of love meet at a dance and fall for each other.,Good,Good
236. Кабаре,7.8,,N/A,61000,Unknown,80.0,A female girlie club entertainer in Weimar Republic era Berlin romances two men while the Nazi Party rises to power around them.,Good,Excellent
237. Скромное обаяние буржуазии,7.8,,N/A,48000,Unknown,93.0,"A surreal, virtually plotless series of dreams centered around six middle-class people and their consistently interrupted attempts to have a meal together.",Good,Good
238. Белоснежка и семь гномов,7.6,,N/A,220000,Unknown,96.0,"Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.",Good,Good
239. Амаркорд,7.8,,N/A,48000,Unknown,0.0,A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.,Good,Good
240. Трон в крови,8.0,,N/A,57000,Unknown,0.0,"A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle.",Excellent,Excellent
241. Потерянный уик-энд,7.9,,N/A,41000,Unknown,0.0,The desperate life of a chronic alcoholic is followed through a four-day drinking bout.,Good,Good
242. Отныне и во веки веков,7.6,,N/A,52000,Unknown,85.0,"At a U.S. Army base in 1941 Hawaii, a pugilistic private is cruelly punished for refusing to join his unit's boxing team. Meanwhile, his commanding officer's wife and top NCO are indulging in a torrid love affair.",Good,Good
243. Обет,8.3,,N/A,1000,Unknown,0.0,"A simple yet devout Christian makes a vow to Saint Barbara after she saves his donkey, but everyone he meets seems determined to misunderstand his intentions. Will he be able to keep his promise in the end?",Excellent,Excellent
244. Чёрный нарцисс,7.7,,N/A,29000,Unknown,86.0,"A group of nuns struggle to establish a convent in the Himalayas, while isolation, extreme weather, altitude, and culture clashes all conspire to drive the well-intentioned missionaries mad.",Good,Good
245. Жизнь куртизанки Охару,8.1,,N/A,8000,Unknown,0.0,Follows a woman's fight and survival amid the vicissitudes of life and the cruelty of society.,Excellent,Excellent
246. Мятеж на Баунти,7.6,,N/A,25000,Unknown,87.0,"First mate Fletcher Christian leads a revolt against his sadistic commander, Captain Bligh, in this classic seafaring adventure, based on the real-life 1789 mutiny.",Good,Good
247. Римские каникулы,8.0,,N/A,150000,Unknown,78.0,A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.,Excellent,Good
248. День гнева,8.1,,N/A,11000,Unknown,0.0,The young wife of an aging priest falls in love with his son amidst the horror of a merciless witch hunt in 17th-century Denmark.,Excellent,Good
249. Его девушка Пятница,7.8,,N/A,65000,Unknown,0.0,"A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from quitting and remarrying, using an exclusive interview with a death row convict as an enticement to buy himself some time to win her back.",Good,Good
250. Добрые сердца и короны,8.0,,N/A,40000,Unknown,0.0,A distant poor relative of the Duke D'Ascoyne plots to inherit the title by murdering the eight other heirs who stand ahead of him in the line of succession.,Excellent,Good
251. Один и два,8.1,,N/A,30000,Unknown,94.0,Each member of a middle-class Taipei family seeks to reconcile past and present relationships within their daily lives.,Excellent,Good
252. Полуночная жара,7.9,,N/A,85000,Unknown,76.0,"A black Philadelphia police detective is mistakenly suspected of a local murder while passing through a racially hostile Mississippi town, and after being cleared is reluctantly asked by the police chief to investigate the case.",Good,Good
253. Миссис Минивер,7.6,,N/A,20000,Unknown,0.0,A British family struggles to survive the first months of World War II.,Good,Good
"254. Носферату, симфония ужаса",7.8,,N/A,109000,Unknown,0.0,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.,Good,Good
255. Красная река,7.7,,N/A,35000,Unknown,96.0,"Dunson leads a cattle drive, the culmination of over 14 years of work, to its destination in Missouri. But his tyrannical behavior along the way causes a mutiny, led by his adopted son.",Good,Good
256. Подводная лодка,8.4,,N/A,270000,Unknown,85.0,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.,Excellent,Good
257. Шуша,8.0,,N/A,3000,Unknown,0.0,"Two shoeshine boys in postwar Rome, Italy save up to buy a horse, but their involvement as dupes in a burglary lands them in juvenile prison; the experience take a devastating toll on their friendship.",Excellent,Excellent
258. Изгоняющий дьявола,8.1,,N/A,468000,Unknown,83.0,"When a mysterious entity possesses a young girl, her mother seeks the help of two Catholic priests to save her life.",Excellent,Good
259. Большой побег,8.2,,N/A,264000,Unknown,86.0,Allied prisoners of war plan for several hundred of their men to escape from a German camp during World War II.,Excellent,Good
260. Спасти рядового Райана,8.6,,N/A,5000000,Unknown,91.0,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",Excellent,Good
261. Ровно в полдень,7.9,,N/A,112000,Unknown,89.0,"A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at ""high noon"" when the gang leader, an outlaw he ""sent up"" years ago, arrives on the noon train.",Good,Good
262. Магазин на площади,8.2,,N/A,9000,Unknown,0.0,"A carpenter in the Fascist Slovak State is appointed ""Aryan controller"" of a Jewish widow's store.",Excellent,Good
"263. Хиросима, моя любовь",7.8,,N/A,37000,Unknown,0.0,A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war.,Good,Good
264. Человек на все времена,7.7,,N/A,38000,Unknown,72.0,"The story of Sir Thomas More, who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry.",Good,Good
265. В случае убийства набирайте «М»,8.2,,N/A,193000,Unknown,75.0,A former tennis star arranges the murder of his adulterous wife.,Excellent,Excellent
266. Пустоши,7.7,,N/A,80000,Unknown,94.0,"An impressionable teenage girl from a dead-end town, and her older greaser boyfriend, embark on a killing spree in the South Dakota Badlands.",Good,Good
267. Обыкновенные люди,7.7,,N/A,58000,Unknown,86.0,"The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father and the guilt-ridden younger son.",Good,Good
268. Случай в Окс-Боу,8.0,,N/A,25000,Unknown,0.0,"When a posse captures three men suspected of killing a local farmer, they become strongly divided over whether or not to lynch the men.",Excellent,Good
269. Полуночные колокола,7.6,,N/A,10000,Unknown,94.0,"When King Henry IV ascends to the throne, his heir, the Prince of Wales, is befriended by Sir John Falstaff, an old, overweight, fun-loving habitual liar. Through Falstaff's eyes we see the reign of King Henry IV and the rise of Henry V.",Good,Good
270. Тайны и ложь,8.0,,N/A,48000,Unknown,92.0,"Following the death of her adoptive parents, a successful young black optometrist establishes contact with her biological mother -- a lonely white factory worker living in poverty in East London.",Excellent,Good
271. Только у ангелов есть крылья,7.6,,N/A,16000,Unknown,86.0,"At a remote South American trading port, the manager of an air-freight company is forced to risk his pilots' lives in order to win an important contract, as a traveling American showgirl stops in town.",Good,Good
272. Невинные,7.7,,N/A,34000,Unknown,88.0,A young governess for two children becomes convinced that the house and grounds are haunted.,Good,Good
273. Наследница,8.1,,N/A,18000,Unknown,0.0,A naive young woman falls for a handsome young man her emotionally abusive father suspects is only a fortune hunter.,Excellent,Good
274. Баскетбольные мечты,8.3,,N/A,28000,Unknown,98.0,A film following the lives of two inner-city Chicago boys who struggle to become college basketball players on the road to going professional.,Excellent,Excellent
275. Пятая печать,8.5,,N/A,3000,Unknown,0.0,"In Budapest in 1944, a watchmaker, a book seller and a carpenter are drinking in a bar with the owner, when they are joined by a stranger. The watchmaker asks a hypothetical question that will change their lives.",Excellent,Excellent
276. Фотоувеличение,7.4,,N/A,69000,Unknown,82.0,A fashion photographer unknowingly captures a death on film after following two lovers in a park.,Good,Good
277. Убийство,7.9,,N/A,100000,Unknown,91.0,Crook Johnny Clay assembles a five-man team to plan and execute a daring racetrack robbery.,Good,Good
278. МакКейб и миссис Миллер,7.6,,N/A,28000,Unknown,93.0,"A gambler and a prostitute become business partners in a remote Old West mining town, and their enterprise thrives until a large corporation arrives on the scene.",Good,Good
279. Крамер против Крамера,7.8,,N/A,158000,Unknown,77.0,"After his wife leaves him, a work-obsessed Manhattan advertising executive is forced to learn long-neglected parenting skills, but a heated custody battle over the couple's young son deepens the wounds left by the separation.",Good,Good
"280. Родиться-то я родился, но...",7.9,,N/A,4000,Unknown,91.0,Two young brothers throw a tantrum when they discover that their father isn't the most important man in his workplace.,Good,Good
"281. Агирре, гнев божий",7.8,,N/A,64000,Unknown,0.0,"In the 16th century, the ruthless and insane Don Lope de Aguirre leads a Spanish expedition in search of El Dorado.",Good,Good
282. Странствия Салливана,7.9,,N/A,29000,Unknown,89.0,Hollywood director John L. Sullivan sets out to experience life as a homeless person in order to gain relevant life experience for his next movie.,Good,Good
283. Форрест Гамп,8.8,,N/A,3000000,Unknown,82.0,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",Excellent,Excellent
284. Мадам де...,7.9,,N/A,11000,Unknown,0.0,"When an aristocratic woman known only as ""Madame de . . ."" sells a pair of earrings given to her by her husband in order to pay some debts, she sets off a chain reaction of financial and carnal consequences that can end only in despair.",Good,Good
285. Слуга,7.8,,N/A,14000,Unknown,94.0,"Upper-class Tony hires servant Hugo Barrett, who turns out to have a hidden agenda.",Good,Good
286. Лора,7.9,,N/A,53000,Unknown,0.0,A police detective falls in love with the woman whose murder he is investigating.,Good,Good
287. Раннее лето,8.1,,N/A,9000,Unknown,94.0,"A family chooses a match for their daughter Noriko, but she, surprisingly, has her own plans.",Excellent,Excellent
288. Нетерпимость,7.7,,N/A,17000,Unknown,99.0,Four historical tales depict the ongoing human struggle against prejudice and inhumanity.,Good,Good
289. Ганди,8.0,,N/A,242000,Unknown,79.0,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,Excellent,Excellent
290. Кагемуся: Тень воина,7.9,,N/A,39000,Unknown,84.0,A petty thief with an utter resemblance to a samurai warlord is hired as the lord's double. When the warlord later dies the thief is forced to take up arms in his place.,Good,Good
291. Тихий человек,7.7,,N/A,43000,Unknown,85.0,"A retired American boxer returns to the village of his birth in 1920s Ireland, where he falls for a spirited redhead whose brother is contemptuous of their union.",Good,Good
292. В укромном месте,7.9,,N/A,37000,Unknown,0.0,"A potentially violent screenwriter is a murder suspect until his lovely neighbor clears him. However, she soon starts to have her doubts.",Good,Good
293. Нибелунги: Зигфрид,8.1,,N/A,7000,Unknown,0.0,"Siegfried, son of King Siegmund of Xanten, sets off on a treacherous journey to the Kingdom of Burgundy to ask King Gunther for the hand of his sister, the beautiful Princess Kriemhild.",Excellent,Good
294. Милдред Пирс,7.9,,N/A,29000,Unknown,88.0,A hard-working mother inches towards disaster as she divorces her husband and starts a successful restaurant business to support her spoiled daughter.,Good,Good
295. Встреть меня в Сент-Луисе,7.5,,N/A,28000,Unknown,94.0,Young love and childish fears highlight a year in the life of a turn-of-the-century family.,Good,Good
296. Кес,7.9,,N/A,24000,Unknown,0.0,A working-class English boy spends his free time caring for and training his pet kestrel.,Good,Good
"297. Округ Харлан, США",8.2,,N/A,9000,Unknown,80.0,A heartbreaking record of the thirteen-month struggle between a community fighting to survive and a corporation dedicated to the bottom line.,Excellent,Good
298. Иваново детство,8.0,,N/A,41000,Unknown,0.0,"During WWII, Soviet orphan Ivan Bondarev strikes up a friendship with three sympathetic Soviet officers while working as a scout behind the German lines.",Excellent,Excellent
299. Страх съедает душу,8.0,,N/A,25000,Unknown,0.0,"A lonely widow meets a much younger Moroccan worker in a bar during a rainstorm. They fall in love, to their own surprise and to the outright shock of their families, colleagues, and drinking buddies.",Excellent,Good
300. Белая горячка,8.1,,N/A,37000,Unknown,89.0,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,Excellent,Good
301. Подними красный фонарь,8.1,,N/A,36000,Unknown,0.0,"China in the 1920s. After her father's death, Songlian is forced to marry the wealthy Master Chen. With three wives already, each living in a separate house, there is fierce competition for his attention and the privileges that are gained.",Excellent,Excellent
302. Я - беглый каторжник,8.2,,N/A,15000,Unknown,0.0,"A World War I veteran and aspiring engineer tries to re-enter civilian life. After being unwillingly caught up in a robbery, he suffers the intolerable conditions of a Southern chain gang, struggling to clear his name and prove his worth.",Excellent,Excellent
303. The Beatles: Вечер трудного дня,7.5,,N/A,49000,Unknown,96.0,"Over two ""typical"" days in the life of The Beatles, the boys struggle to keep themselves and Sir Paul McCartney's mischievous grandfather in check while preparing for a live TV performance.",Good,Good
304. Красный круг,7.9,,N/A,29000,Unknown,92.0,"After leaving prison, master thief Corey crosses paths with a notorious escapee and an alcoholic former policeman. The trio proceed to plot an elaborate heist.",Good,Good
305. Дух улья,7.8,,N/A,21000,Unknown,87.0,"In 1940, after watching and being traumatized by the movie Франкенштейн (1931), a sensitive seven-year-old girl living in a small Spanish village drifts into her own fantasy world.",Good,Good
306. Шейн,7.6,,N/A,45000,Unknown,85.0,An ex-gunfighter defends homesteaders in 1889 Wyoming.,Good,Good
307. Новый кинотеатр «Парадизо»,8.5,,N/A,292000,Unknown,80.0,"Salvatore, a famous film director, returns to his hometown for the funeral of the local theater's film projectionist, Alfredo. He reminisces about his life as a young boy falling in love with cinema.",Excellent,Good
308. Мамочка и шлюха,7.7,,N/A,9000,Unknown,89.0,The chauvinist Alexandre balances relationships with several women in the post-1968 intellectual scene of Paris.,Good,Good
309. Сцены из супружеской жизни,8.3,,N/A,1000,Unknown,0.0,"Chronicles the many years of love and turmoil that bind Marianne and Johan through matrimony, infidelity, divorce, and subsequent partners.",Excellent,Good
310. Девичий источник,8.0,,N/A,32000,Unknown,0.0,"In 14th-century Sweden, an innocent yet pampered teenage girl and her family's pregnant and jealous servant set out from their farm to deliver candles to church, but only one returns from events that transpire in the woods along the way.",Excellent,Good
311. Нюрнбергский процесс,8.3,,N/A,88000,Unknown,60.0,"Fictionalized depiction of the 1947 Judges' Trial, the third of twelve trials of Nazi war criminals conducted by the American occupying forces in Nuremberg, Germany, in which former judges of Nazi Germany were tried for their actions.",Excellent,Good
312. Пианист,8.5,,N/A,941000,Unknown,85.0,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.",Excellent,Excellent
313. Гамлет,7.6,,N/A,19000,Unknown,82.0,"Prince Hamlet struggles over whether or not he should kill his uncle, whom he suspects has murdered his father, the former king.",Good,Good
314. Дерево для башмаков,7.8,,N/A,1000,Unknown,0.0,Peasant life in a feudal farm in rural Italy at the end of the 19th century.,Good,Good
315. Иметь и не иметь,7.8,,N/A,39000,Unknown,90.0,"During World War II, an American expatriate helps transport a French Resistance leader and his wife to Martinique while romancing a lounge singer.",Good,Good
"316. Прощай, моя наложница",8.1,,N/A,34000,Unknown,84.0,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and endure some of the most troublesome times in China's history.,Excellent,Excellent
317. Мой дядюшка,7.7,,N/A,25000,Unknown,84.0,"Monsieur Hulot visits the technology-driven world of his sister, brother-in-law, and nephew, but he can't quite fit into the surroundings.",Good,Good
318. Следствие по делу гражданина вне всяких подозрений,8.0,,N/A,14000,Unknown,89.0,A high-ranking police inspector murders his mistress and - in a sardonic test to prove that he is above suspicion - deliberately plants clues that indicate his responsibility for the crime.,Excellent,Excellent
319. Бедные-несчастные,7.8,,N/A,314000,Unknown,88.0,"An account of the fantastical evolution of Bella Baxter, a young woman brought back to life by the brilliant and unorthodox scientist Dr. Godwin Baxter.",Good,Good
320. Ветер,8.0,,N/A,4000,Unknown,0.0,"A frail young woman from the East moves in with her cousin in the West, where she causes tension within the family and is slowly driven mad.",Excellent,Good
321. Орфей,7.9,,N/A,14000,Unknown,0.0,A poet in love with Death follows his unhappy wife into the underworld.,Good,Good
322. Туз в рукаве,8.1,,N/A,40000,Unknown,72.0,"Frustrated former journalist Chuck Tatum now working for an Albuquerque newspaper exploits a story about trading post owner Leo Minosa trapped in a cave to rekindle Chuck's career, but the story soon escalates into a media circus.",Excellent,Good
323. Париж горит,8.2,,N/A,19000,Unknown,82.0,"A chronicle of New York's drag scene in the 1980s, focusing on balls, voguing and the ambitions and dreams of those who gave the era its warmth and vitality.",Excellent,Excellent
324. Эдвард Мунк,8.1,,N/A,4000,Unknown,0.0,"This biopic of Norwegian Expressionist painter Edvard Munch focuses on the influences that shaped his art, his devastating affair with a married woman that will haunt him for the rest of his life",Excellent,Good
325. Барака,8.5,,N/A,42000,Unknown,0.0,A collection of expertly photographed scenes of human life and religion.,Excellent,Excellent
326. Франкенштейн,7.8,,N/A,82000,Unknown,91.0,Dr Henry Frankenstein is obsessed with assembling a living being from parts of several exhumed corpses.,Good,Good
327. Уродцы,7.8,,N/A,52000,Unknown,80.0,"A circus' beautiful trapeze artist Cleopatra agrees to marry Hans the leader of side-show performers, but Hans' deformed friends discover that she is only marrying him for his inheritance. So they seek revenge.",Good,Good
328. Ящик Пандоры,7.7,,N/A,12000,Unknown,0.0,The rise and inevitable fall of an amoral but naive young woman whose insouciant eroticism inspires lust and violence in those around her.,Good,Good
329. Ночь у Мод,7.8,,N/A,15000,Unknown,0.0,"A devout Catholic man's rigid principles are challenged during a one-night stay with Maud, a divorced woman with an outsize personality.",Good,Good
330. Американец в Париже,7.1,,N/A,38000,Unknown,83.0,Three friends struggle to find work in Paris. Things become more complicated when two of them fall in love with the same woman.,Good,Good
331. Необычный день,8.1,,N/A,17000,Unknown,0.0,"Two neighbors, a persecuted journalist and a resigned housewife, meet during Hitler's visit to Italy in May 1938.",Excellent,Excellent
332. Хладнокровно,7.9,,N/A,30000,Unknown,89.0,"Two ex-cons murder a family in a robbery attempt, before going on the run from the authorities. The police try to piece together the details of the murder in an attempt to track down the killers.",Good,Good
333. Наконец в безопасности!,8.1,,N/A,24000,Unknown,0.0,A boy leaves his small country town and heads to the big city to get a job. As soon as he makes it big his sweetheart will join him and marry him. His enthusiasm to get ahead leads to some interesting adventures.,Excellent,Good
334. Дневник сельского священника,7.7,,N/A,13000,Unknown,0.0,A young priest taking over the parish at Ambricourt tries to fulfill his duties even as he fights a mysterious stomach ailment.,Good,Good
335. Мужчина и женщина,7.5,,N/A,12000,Unknown,0.0,"A widow and a widower find their relationship developing into love, but their past tragedies prove hard to overcome, causing them to proceed with utmost delicacy.",Good,Good
336. Любовное настроение,8.1,,N/A,172000,Unknown,87.0,"Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",Excellent,Excellent
337. Долгое прощание,7.5,,N/A,39000,Unknown,87.0,"Private eye Philip Marlowe helps friend Terry Lennox out of a jam and is implicated in his wife Sylvia's murder. He also is hired by Eileen Wade to locate her dipsomaniac husband Roger, who frequently disappears when he wants to dry out.",Good,Good
338. Терминатор 2: Судный день,8.6,,N/A,2000000,Unknown,75.0,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.",Excellent,Excellent
339. Повесть о поздней хризантеме,7.8,,N/A,5000,Unknown,0.0,"The adopted son of a legendary actor, and an aspiring star himself, turns to his infant brother's wet nurse for support and affection - only for her to give up everything for her beloved's glory.",Good,Good
340. Жить своей жизнью,7.8,,N/A,36000,Unknown,0.0,Twelve episodic tales in the life of a Parisian woman and her slow descent into prostitution.,Good,Good
341. Огни рампы,8.0,,N/A,23000,Unknown,84.0,A fading comedian and a suicidally despondent ballet dancer must look to each other to find purpose and hope in their lives.,Excellent,Excellent
342. Эмигранты,8.0,,N/A,7000,Unknown,0.0,"Småland, Sweden, mid-19th century. A farming family struggle with their rocky, unyielding land, and decide to embark on the arduous journey to new hope in America.",Excellent,Excellent
343. Имитация жизни,7.8,,N/A,19000,Unknown,87.0,An aspiring white actress takes in an African American widow whose mixed-race daughter is desperate to be seen as white.,Good,Good
344. Спартак,7.9,,N/A,146000,Unknown,87.0,"The slave Spartacus survives brutal training as a gladiator and leads a violent revolt against the decadent Roman Republic, as the ambitious Crassus seeks to gain power by crushing the uprising.",Good,Good
345. Фарго,8.1,,N/A,740000,Unknown,88.0,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,Excellent,Good
346. Жажда,8.3,,N/A,5000,Unknown,0.0,"Vijay, a talented but indigent poet, struggles for love and recognition in this selfish world.",Excellent,Excellent
347. Десять заповедей,7.9,,N/A,79000,Unknown,0.0,"Moses, raised as a prince of Egypt in the Pharaoh's household, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people from slavery.",Good,Good
348. Вакантное место,7.9,,N/A,7000,Unknown,0.0,"Bursting with big dreams and plans, an Italian teen goes to Milan to work in a big impersonal corporate office, where he becomes disillusioned and drained of all his individualism.",Good,Good
349. Дневная красавица,7.6,,N/A,50000,Unknown,0.0,A frigid young housewife decides to spend her midweek afternoons as a prostitute.,Good,Good
350. Письмо незнакомки,7.9,,N/A,14000,Unknown,0.0,"A pianist about to flee from a duel receives a letter from a woman he cannot remember, who may hold the key to his downfall.",Good,Good
351. Ниночка,7.8,,N/A,23000,Unknown,0.0,A stern Soviet woman sent to Paris to supervise the sale of jewels seized from Russian nobles finds herself attracted to a man who represents everything she is supposed to detest.,Good,Good
352. Мистер Дидс переезжает в город,7.8,,N/A,24000,Unknown,0.0,A unassuming greeting card poet from a small town in Vermont heads to New York City upon inheriting a massive fortune and is immediately hounded by those who wish to take advantage of him.,Good,Good
353. Возмутительный класс,9.2,,N/A,44000,Unknown,0.0,"Lazy, uneducated students share a very close bond. They live together in the dormitory, where they plan their latest pranks. When a new headmaster arrives, the students naturally try to overthrow him. A comic war of nitwits follows.",Excellent,Good
354. Бонни и Клайд,7.7,,N/A,123000,Unknown,86.0,"Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",Good,Good
355. Близкие контакты третьей степени,7.6,,N/A,222000,Unknown,90.0,"Roy Neary, an Indiana electric lineman, finds his quiet and ordinary daily life turned upside down after a close encounter with a UFO, spurring him to an obsessed cross-country quest for answers as a momentous event approaches.",Good,Good
356. Красота по-американски,8.3,,N/A,2000000,Unknown,84.0,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,Excellent,Good
357. Фицкарральдо,8.0,,N/A,40000,Unknown,0.0,"The story of Brian Sweeney Fitzgerald, an extremely determined man who intends to build an opera house in the middle of a jungle.",Excellent,Excellent
358. 39 ступеней,7.6,,N/A,63000,Unknown,93.0,"A man in London tries to help a counter-espionage agent, but when the agent is killed and the man stands accused, he must go on the run to save himself and stop a spy ring that is trying to steal top-secret information.",Good,Good
"359. Крадущийся тигр, затаившийся дракон",7.9,,N/A,285000,Unknown,94.0,A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,Good,Good
360. Доброе утро!,7.8,,N/A,11000,Unknown,87.0,Two boys begin a silence strike to press their parents into buying them a television set.,Good,Good
361. Нечто,8.2,,N/A,484000,Unknown,57.0,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,Excellent,Excellent
362. Последний вальс,8.1,,N/A,21000,Unknown,84.0,A film account and presentation of the final concert of The Band.,Excellent,Excellent
363. Три цвета: Синий,7.8,,N/A,113000,Unknown,87.0,A woman struggles to find a way to live her life after the death of her husband and child.,Good,Good
364. Шанхайский экспресс,7.3,,N/A,11000,Unknown,83.0,A notorious woman rides a train through a dangerous situation with a British captain she loved.,Good,Good
365. Чарулота,8.1,,N/A,4000,Unknown,0.0,"The lonely wife of a newspaper editor falls in love with her visiting cousin-in-law, who shares her love for literature.",Excellent,Good
366. Макарио,8.3,,N/A,6000,Unknown,0.0,"Poor and hungry peasant Macario wishes to have a good meal for All Saint's Day. After his wife cooks him a turkey he has three apparitions: The Devil, God, and the Death.",Excellent,Good
367. Театральный фургон,7.4,,N/A,13000,Unknown,93.0,"An aging movie star uncertain of his future teams up with a top ballerina to headline a new Broadway musical, but the pretentiously artistic goals of its director threaten to change it beyond recognition.",Good,Good
368. Прошлые жизни,7.8,,N/A,138000,Unknown,94.0,"Nora and Hae Sung, two deeply connected childhood friends, are wrested apart after Nora's family emigrates from South Korea. Twenty years later, they are reunited for one fateful week as they confront notions of love and destiny.",Good,Good
369. Мэри Поппинс,7.8,,N/A,190000,Unknown,88.0,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.",Good,Good
370. Пианино,7.5,,N/A,97000,Unknown,89.0,"In the mid-19th century a mute woman is sent to New Zealand along with her young daughter and prized piano for an arranged marriage to a farmer, but is soon lusted after by a farm worker.",Good,Good
371. Токийские сумерки,8.1,,N/A,2000,Unknown,87.0,"Two sisters find out the existence of their long-lost mother, but the younger cannot take the truth of being abandoned as a child.",Excellent,Good
372. Профессия: Репортер,7.5,,N/A,27000,Unknown,90.0,"Unable to find the war he's been asked to cover, a frustrated war correspondent takes the risky path of co-opting the identity of a dead arms-deal acquaintance.",Good,Good
373. Большой город,8.3,,N/A,1000,Unknown,0.0,"Life at home changes when a house-wife from a middle-class, conservative family in Calcutta gets a job as a saleswoman.",Excellent,Good
374. Большие надежды,7.8,,N/A,27000,Unknown,90.0,"A humble orphan boy in 1810s Kent is given the opportunity to go to London and become a gentleman, with the help of an unknown benefactor.",Good,Good
375. Манхэттен,7.8,,N/A,149000,Unknown,83.0,The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.,Good,Good
376. Иван Грозный,7.7,,N/A,11000,Unknown,0.0,"During the early part of his reign, Ivan the Terrible faces betrayal from the aristocracy and even his closest friends as he seeks to unite the Russian people.",Good,Good
377. Газовый свет,7.8,,N/A,35000,Unknown,78.0,"Ten years after her aunt was murdered in their London home, a woman returns from Italy in the 1880s to resume residence with her new husband. His obsessive interest in the house rises from a secret that may require driving his wife insane.",Good,Good
378. История игрушек,8.3,,N/A,1000000,Unknown,96.0,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,Excellent,Good
379. Мой слуга Годфри,7.9,,N/A,27000,Unknown,82.0,A scatterbrained socialite hires a vagrant as a family butler - but there's more to Godfrey than meets the eye.,Good,Good
380. Зона интересов,7.4,,N/A,118000,Unknown,92.0,Auschwitz commandant Rudolf Höss and his wife Hedwig strive to build a dream life for their family in a house and garden beside the camp.,Good,Good
